iter	Passed	Remaining
459	801	941
460	803	939
461	804	937
462	806	935
463	807	933
464	808	930
465	809	927
466	811	926
467	812	923
468	814	921
469	815	919
470	816	917
471	818	915
472	819	913
473	821	911
474	822	909
475	824	907
476	824	904
477	825	901
478	827	899
479	828	897
480	830	895
481	831	893
482	833	891
483	834	889
484	834	886
485	835	884
486	837	882
487	839	880
488	840	878
489	842	876
490	844	875
491	845	873
492	847	871
493	848	869
494	850	867
495	852	865
496	853	864
497	855	862
498	856	860
499	858	858
500	859	856
501	861	854
502	862	852
503	864	850
504	865	848
505	867	846
506	867	843
507	868	841
508	870	839
509	871	836
510	871	834
511	873	832
512	874	830
513	876	828
514	877	826
515	879	824
516	880	822
517	881	820
518	882	818
519	884	816
520	886	814
521	887	812
522	888	810
523	890	808
524	891	806
525	892	803
526	893	801
527	894	799
528	896	798
529	897	795
530	897	792
531	899	791
532	900	789
533	902	787
534	903	785
535	905	783
536	906	781
537	906	778
538	908	776
539	909	775
540	911	772
541	912	771
542	914	769
543	915	767
544	917	765
545	918	763
546	920	761
547	921	759
548	922	757
549	924	756
550	925	754
551	927	752
552	928	750
553	930	748
554	931	747
555	933	745
556	934	743
557	936	741
558	938	740
559	940	738
560	941	736
561	943	735
562	944	733
563	946	731
564	947	729
565	949	727
566	950	726
567	952	724
568	952	721
569	954	719
570	954	717
571	956	715
572	957	713
573	959	712
574	961	710
575	962	708
576	964	706
577	965	705
578	966	702
579	967	700
580	969	698
581	970	697
582	972	695
583	973	693
584	974	691
585	975	689
586	977	687
587	978	685
588	980	683
589	981	681
590	981	679
591	983	677
592	984	676
593	986	674
594	988	672
595	989	670
596	991	669
597	992	667
598	993	665
599	995	663
600	996	661
601	997	659
602	998	657
603	999	655
604	1001	653
605	1002	651
606	1004	650
607	1005	648
608	1007	646
609	1008	644
610	1010	643
611	1011	641
612	1013	639
613	1015	638
614	1016	636
615	1017	634
616	1018	632
617	1019	629
618	1021	628
619	1022	626
620	1023	624
621	1025	623
622	1027	621
623	1029	620
624	1030	618
625	1032	616
626	1032	614
627	1033	612
628	1034	610
629	1035	607
630	1036	606
631	1038	604
632	1040	603
633	1042	601
634	1043	600
635	1045	598
636	1047	596
637	1048	595
638	1050	593
639	1051	591
640	1052	589
641	1053	587
642	1054	585
643	1055	583
644	1056	581
645	1056	579
646	1057	577
647	1059	575
648	1061	573
649	1062	572
650	1064	570
651	1065	568
652	1066	566
653	1067	564
654	1069	563
655	1070	561
656	1071	559
657	1071	557
658	1073	555
659	1075	553
660	1076	551
661	1076	549
662	1078	548
663	1079	546
664	1080	544
665	1081	542
666	1082	540
667	1083	538
668	1084	536
669	1085	534
670	1087	533
671	1088	531
672	1089	529
673	1091	527
674	1092	526
675	1093	524
676	1094	522
677	1096	520
678	1097	519
679	1099	517
680	1100	515
681	1102	514
682	1103	512
683	1105	510
684	1106	508
685	1107	507
686	1109	505
687	1111	503
688	1112	502
689	1114	500
690	1115	499
691	1117	497
692	1118	495
693	1119	493
694	1120	491
695	1122	490
696	1125	489
697	1127	487
698	1129	486
699	1131	485
700	1133	483
701	1134	481
702	1135	479
703	1135	477
704	1137	476
705	1138	474
706	1140	472
707	1142	471
708	1143	469
709	1144	467
710	1145	465
711	1147	464
712	1148	462
713	1150	460
714	1151	459
715	1153	457
716	1155	456
717	1157	454
718	1158	452
719	1160	451
720	1161	449
721	1163	447
722	1164	446
723	1165	444
724	1167	442
725	1168	441
726	1170	439
727	1171	437
728	1173	436
729	1174	434
730	1176	432
731	1178	431
732	1179	429
733	1181	428
734	1183	426
735	1184	424
736	1186	423
737	1187	421
738	1188	419
739	1190	418
740	1192	416
741	1193	415
742	1195	413
743	1196	411
744	1197	409
745	1198	408
746	1200	406
747	1202	405
748	1203	403
749	1205	401
750	1206	400
751	1208	398
752	1209	396
753	1211	395
754	1212	393
755	1214	391
756	1215	390
757	1217	388
758	1218	387
759	1220	385
760	1220	383
761	1221	381
762	1223	380
763	1225	378
764	1226	376
765	1228	375
766	1229	373
767	1231	371
768	1232	370
769	1234	368
770	1236	367
771	1238	365
772	1238	363
773	1239	361
774	1240	360
775	1242	358
776	1243	356
777	1245	355
778	1246	353
779	1248	352
780	1250	350
781	1252	349
782	1254	347
783	1255	346
784	1257	344
785	1258	342
786	1259	340
787	1260	339
788	1261	337
789	1262	335
790	1263	333
791	1264	332
792	1265	330
793	1266	328
794	1267	326
795	1269	325
796	1270	323
797	1271	321
798	1273	320
799	1274	318
800	1276	317
801	1277	315
